model_name,accuracy,auc,market_mean_future_return,market_up_ratio,top1_hit_rate,top1_future_return,top3_hit_rate,top3_future_return,top5_hit_rate,top5_future_return,top_bin_actual_up_rate,top_bin_avg_future_ret,preprocess_mode,model_group
logistic,0.5315582722786814,0.5209507136949753,0.0042039149460572,0.3962926755903143,0.3947286166905337,0.0042920225292663,0.3935256703583537,0.0041113860449658,0.3932333154272819,0.0039738172224016,0.48922143680754,0.0126497089619168,raw,scale_sensitive
logistic,0.5316087632225397,0.5209792335094421,0.0042039149460572,0.3962926755903143,0.3971358071807365,0.0046811422015933,0.3930211545256818,0.0038801525631451,0.392650016263392,0.0038357851056723,0.4916206518703134,0.0128760074467057,standard,scale_sensitive
logistic,0.4997464710053069,0.5117545968268417,0.0042039149460572,0.3962926755903143,0.3948076645017166,0.0049077009634354,0.3982746069106376,0.0047832708913341,0.4005347632279723,0.0049349725903702,0.4164177928653789,0.0069325084924405,zscore,scale_sensitive
mlp,0.605472358893926,0.5426639769737345,0.0042039149460572,0.3962926755903143,0.4183993303163179,0.0084240899083158,0.4144206976417128,0.0072673198900424,0.4146521361359538,0.0068778390133982,0.5112834726310437,0.0188011486608312,raw,scale_sensitive
mlp,0.6066057194422362,0.5446450089999038,0.0042039149460572,0.3962926755903143,0.4177493068592769,0.007624357746368,0.4138404323697998,0.0066511907698823,0.4117253224466682,0.0061878057717723,0.5136397166777675,0.0180997690683579,standard,scale_sensitive
mlp,0.6035615810469172,0.5360401185732272,0.0042039149460572,0.3962926755903143,0.4082826943331864,0.0088018681794117,0.4072804705729954,0.0069973685087718,0.4084989898716239,0.0066909177068809,0.4882116179303726,0.0179068471798251,zscore,scale_sensitive
random_forest,0.6102056163117977,0.5485833744823456,0.0042039149460572,0.3962926755903143,0.4134288592033564,0.0062845021716471,0.410205595601883,0.006112186709395,0.4107112791603389,0.0059748042477309,0.5091814737626138,0.015411867419234,raw,scale_sensitive
catboost,0.6129682945519913,0.5557608308340982,0.0042039149460572,0.3962926755903143,0.4169304887747335,0.0084561235263079,0.4141114417958733,0.0069483008455345,0.4126227701755747,0.0066195405828572,0.5325505446576284,0.0186269034080268,raw,tree
catboost,0.6040088377056342,0.5165438174646277,0.0042039149460572,0.3962926755903143,0.412435904637445,0.0100285338007667,0.407194877656128,0.0077300669986433,0.4059145670740526,0.0070663695941208,0.4268525879294416,0.0099629672524112,zscore,tree
lightgbm,0.5715456674473068,0.5570262711682757,0.0042039149460572,0.3962926755903143,0.4239349380556055,0.0106450597082823,0.4186982000910088,0.0079065383939819,0.4176196137046106,0.007384528681868,0.530280242643004,0.0193011195942701,raw,tree
lightgbm,0.5145209805985863,0.5232998931069979,0.0042039149460572,0.3962926755903143,0.4119860706724207,0.0108035605525484,0.4095680226010237,0.0078045144203376,0.4074970751308763,0.0071518953019087,0.4412263927980577,0.0127321140013074,zscore,tree
lightgbm_conservative,0.5726575424875922,0.5570103508226378,0.0042039149460572,0.3962926755903143,0.4216853567302861,0.0102501218766871,0.4180793745971218,0.0078777326306892,0.4149983815136107,0.0069952869928426,0.5300904539887845,0.0187645672107907,raw,tree
lightgbm_conservative,0.5108315607789213,0.5224963702148987,0.0042039149460572,0.3962926755903143,0.4099579483511875,0.0101004831403614,0.4097685056533369,0.0076505226962385,0.4074865034129806,0.0069325666482374,0.4370832706672682,0.0119386649568735,zscore,tree
lightgbm_shallow,0.5709161420621791,0.5551746304833842,0.0042039149460572,0.3962926755903143,0.4185548636233274,0.0099883915523322,0.4143633912984946,0.00751753666507,0.4135136859009204,0.0070588564342922,0.5289123319654226,0.018351251145403,raw,tree
lightgbm_shallow,0.4997317892414899,0.5167449626290562,0.0042039149460572,0.3962926755903143,0.4156063438583764,0.0109252458822057,0.4081863147903655,0.0077368629433778,0.4078739665557703,0.0073203942569373,0.4246753897829247,0.0097044738417257,zscore,tree
xgboost,0.6127899648353852,0.5581848033761202,0.0042039149460572,0.3962926755903143,0.4243719910386577,0.0110797347269716,0.4197818692976163,0.0084835640167028,0.4171331069104442,0.0074158027583389,0.5317897134181059,0.0190819498134973,raw,tree
xgboost,0.6044557362725508,0.5207091795072536,0.0042039149460572,0.3962926755903143,0.4121721054754859,0.0111447255054202,0.4089879750920417,0.0081680393985038,0.4080494060892121,0.0074910800538747,0.4367334515048969,0.0118164521756832,zscore,tree
