,mean_abs_shap
bias_60,0.12919074
board_rs_20d,0.10104358
roc_20,0.09524602
ema30_slope,0.07575187
ret_1d,0.074308194
ema60_slope,0.07106398
ret_1d_minus_5d,0.06741069
board_rank_20d_pct,0.055316713
ret_10d,0.0462193
ret_3d,0.044736627
ret_1d_minus_3d,0.04437222
bias_60_vr,0.04401167
momentum_change,0.04051277
ema90_slope,0.034359764
ma60_slope,0.03194593
ma180_slope,0.028049093
ma30_slope,0.023525396
ret_3d_minus_10d,0.020828275
ema30_slope_vr,0.01919832
ema180_slope,0.018422903
ret_5d,0.017286776
